Genbank.ClusterNum	PKS_KS	PKS_KR	PKS_DH	PKS_ER
CP010947.4	0	0	0	0
CP010947.5	0	1	0	0
CP010947.6	0	0	0	0
CP010947.7	0	0	0	0
CP010947.8	0	0	0	0
CP010976.1	0	0	0	0
CP010976.10	0	1	0	0
CP010976.11	0	0	0	0
CP010976.12	0	0	0	0
CP010976.13	0	0	0	0
CP010976.14	0	0	0	0
CP010976.15	0	0	0	0
CP010976.16	0	0	0	0
CP010976.17	0	0	0	0
CP010976.2	1	0	0	0
CP010976.3	0	0	0	0
CP010976.4	0	0	0	0
CP010976.5	0	1	0	0
CP010976.6	1	0	0	1
CP010976.7	0	0	0	0
CP010976.8	0	0	0	0
CP010976.9	0	0	0	0
CP010978.1	12	9	9	0
CP010978.10	0	0	0	0
CP010978.11	1	1	0	0
CP010978.12	3	2	2	0
CP010978.13	5	3	3	0
CP010978.14	1	1	0	0
CP010978.2	1	1	1	0
CP010978.3	0	0	0	0
CP010978.4	10	5	7	0
CP010978.5	0	0	0	0
CP010978.6	0	0	0	0
CP010978.7	0	1	0	0
CP010978.8	0	0	0	0
CP010978.9	0	0	0	0
CP010979.1	0	0	0	0
CP010979.2	0	0	0	0
CP010979.3	0	0	0	0
CP010979.4	0	0	0	0
CP010979.5	0	0	0	0
CP010979.6	0	0	0	0
CP010979.7	0	0	0	0
CP010979.8	1	2	1	1
CP010979.9	0	0	0	0
CP010985.1	0	0	0	0
CP010985.2	3	0	1	1
CP010987.1	0	0	0	0
CP010987.2	0	0	0	0
CP010987.3	0	0	0	0
CP011005.1	0	0	0	0
CP011005.2	0	0	0	0
CP011005.3	0	0	0	0
CP011005.4	2	1	0	2
CP011005.5	1	1	0	0
CP011020.1	0	0	0	0
CP011020.10	0	0	0	0
CP011020.11	0	0	0	0
CP011020.12	0	0	0	0
CP011020.13	0	0	0	0
CP011020.14	0	0	0	0
CP011020.15	0	0	0	0
CP011020.16	0	0	0	0
CP011020.17	0	0	0	0
CP011020.2	0	0	0	0
CP011020.3	0	1	0	1
CP011020.4	0	0	0	0
CP011020.5	0	0	0	0
CP011020.6	0	0	0	0
CP011020.7	0	0	0	0
CP011020.8	0	0	0	0
CP011020.9	0	0	0	0
CP011052.1	0	0	0	0
CP011052.2	0	0	0	0
CP011052.3	0	0	0	0
CP011052.4	0	0	0	0
CP011052.5	1	2	1	1
CP011052.6	0	0	0	0
CP011052.7	0	0	0	0
CP011058.1	0	0	0	0
CP011058.10	0	0	0	0
CP011058.2	0	0	0	0
CP011058.3	0	0	0	0
CP011058.4	0	0	0	0
CP011058.5	0	0	0	0
CP011058.6	0	0	0	0
CP011058.7	0	0	0	0
CP011058.8	0	0	0	0
CP011058.9	0	0	0	0
CP011074.1	0	1	0	0
CP011074.2	0	0	0	0
CP011074.3	0	0	0	0
CP011074.4	0	0	0	0
CP011074.5	0	0	0	0
CP011074.6	0	0	0	0
CP011074.7	0	0	0	0
CP011074.8	0	0	0	0
CP011074.9	0	0	0	0
CP011076.1	5	5	2	1
CP011076.10	3	3	0	1
CP011076.2	0	0	0	0
CP011076.3	1	1	0	0
CP011076.4	1	1	0	0
CP011076.5	12	6	3	0
CP011076.6	0	0	0	0
CP011076.7	0	0	0	0
CP011076.8	2	2	1	0
CP011076.9	0	0	0	0
CP011077.1	0	0	0	0
CP011077.2	0	0	0	0
CP011077.3	0	0	0	0
CP011077.4	0	0	0	0
CP011077.5	0	0	0	0
CP011077.6	0	0	0	0
CP011077.7	0	0	0	0
CP011077.8	0	0	0	0
CP011100.1	0	0	0	0
CP011100.10	0	0	0	0
CP011100.2	0	0	0	0
CP011100.3	0	0	0	0
CP011100.4	0	0	0	0
CP011100.5	0	1	0	0
CP011100.6	0	0	0	0
CP011100.7	0	0	0	0
CP011100.8	0	0	0	0
CP011100.9	0	0	0	0
CP011101.1	0	0	0	0
CP011101.10	0	1	0	0
CP011101.11	0	0	0	0
CP011101.12	0	0	0	0
CP011101.13	0	0	0	0
CP011101.2	0	0	0	0
CP011101.3	0	0	0	0
CP011101.4	0	0	0	0
CP011101.5	16	9	8	1
CP011101.6	0	0	0	1
CP011101.7	0	0	0	0
CP011101.8	0	0	0	0
CP011101.9	0	0	0	0
CP011104.1	0	0	0	0
CP011104.10	0	0	0	0
CP011104.11	0	0	0	0
CP011104.12	0	0	0	0
CP011104.13	0	0	0	0
CP011104.14	0	0	0	0
CP011104.15	0	0	0	0
CP011104.16	0	0	0	0
CP011104.17	0	0	0	0
CP011104.18	0	0	0	0
CP011104.19	1	1	1	0
CP011104.2	0	0	0	0
CP011104.20	0	0	0	0
CP011104.21	0	0	0	0
CP011104.22	0	0	0	0
CP011104.23	0	0	0	0
CP011104.24	2	1	1	0
CP011104.3	0	0	0	0
CP011104.4	0	0	0	0
CP011104.5	0	1	0	0
CP011104.6	0	0	0	0
CP011104.7	0	0	0	0
CP011104.8	0	0	0	0
CP011104.9	0	0	0	0
CP011110.1	0	0	0	0
CP011110.10	0	0	0	0
CP011110.11	0	0	0	0
CP011110.12	0	0	0	0
CP011110.13	0	0	0	0
CP011110.14	0	0	0	0
CP011110.15	0	0	0	0
CP011110.16	0	0	0	0
CP011110.17	0	0	0	0
CP011110.2	0	1	0	0
CP011110.3	0	1	0	0
CP011110.4	0	0	0	1
CP011110.5	0	0	0	0
CP011110.6	0	0	0	0
CP011110.7	0	0	0	0
CP011110.8	0	0	0	0
CP011110.9	0	0	0	0
CP011114.1	0	0	0	0
CP011114.10	0	0	0	0
CP011114.11	0	0	0	0
CP011114.2	2	3	0	0
CP011114.3	0	0	0	0
CP011114.4	0	0	0	0
CP011114.5	0	0	0	0
CP011114.6	0	0	0	0
CP011114.7	0	0	0	0
CP011114.8	0	0	0	0
CP011114.9	0	0	0	0
CP011117.1	0	0	0	0
CP011117.10	0	0	0	0
CP011117.11	0	0	0	0
CP011117.12	0	0	0	0
CP011117.13	0	1	0	0
CP011117.14	0	0	0	0
CP011117.15	0	1	0	1
CP011117.2	0	0	0	0
CP011117.3	0	0	0	0
CP011117.4	0	0	0	0
CP011117.5	0	0	0	0
CP011117.6	0	0	0	0
CP011117.7	0	0	0	0
CP011117.8	0	0	0	0
CP011117.9	0	0	0	0
CP011125.1	0	0	0	0
CP011125.10	0	0	0	0
CP011125.11	0	0	0	0
CP011125.12	0	0	0	0
CP011125.13	0	0	0	0
CP011125.14	1	1	1	0
CP011125.15	0	0	0	0
CP011125.16	0	0	0	0
CP011125.17	0	0	0	0
CP011125.18	0	1	0	0
CP011125.19	0	0	0	0
CP011125.2	0	0	0	0
CP011125.20	0	1	0	0
CP011125.21	0	0	0	0
CP011125.22	0	0	0	0
CP011125.23	0	0	0	0
CP011125.24	0	0	0	0
CP011125.25	0	0	0	0
CP011125.26	0	0	0	0
CP011125.27	0	0	0	0
CP011125.28	0	0	0	0
CP011125.3	0	0	0	0
CP011125.4	0	0	0	0
CP011125.5	0	0	0	0
CP011125.6	0	0	0	0
CP011125.7	0	0	0	0
CP011125.8	0	0	0	0
CP011125.9	0	0	0	0
CP011129.1	1	2	0	0
CP011129.10	0	0	0	0
CP011129.11	0	0	0	0
CP011129.12	0	0	0	0
CP011129.13	0	0	0	0
CP011129.14	0	0	0	0
CP011129.15	0	0	0	0
CP011129.16	0	0	0	0
CP011129.17	0	0	0	0
CP011129.2	0	0	0	0
CP011129.3	0	0	0	0
CP011129.4	0	0	0	0
CP011129.5	0	0	0	0
CP011129.6	0	0	0	0
CP011129.7	0	0	0	0
CP011129.8	0	1	0	0
CP011129.9	0	0	0	0
CP011130.1	0	0	0	0
CP011130.10	0	0	0	0
CP011130.11	0	0	0	0
CP011130.12	0	0	0	0
CP011130.13	0	0	0	0
CP011130.14	0	0	0	0
CP011130.15	0	0	0	0
CP011130.16	0	0	0	0
CP011130.2	0	0	0	0
CP011130.3	0	0	0	0
CP011130.4	0	0	0	0
CP011130.5	1	1	1	1
CP011130.6	0	0	0	0
CP011130.7	1	1	0	0
CP011130.8	0	1	0	0
CP011130.9	0	0	0	0
CP011131.1	0	0	0	0
CP011131.10	0	0	0	0
CP011131.11	0	0	0	0
CP011131.12	0	0	0	0
CP011131.13	0	0	0	0
CP011131.14	0	0	0	0
CP011131.15	0	0	0	0
CP011131.16	0	0	0	0
CP011131.2	0	0	0	0
CP011131.3	0	0	0	0
CP011131.4	0	0	0	0
CP011131.5	0	0	0	0
CP011131.6	0	0	0	0
CP011131.7	1	1	1	1
CP011131.8	0	0	0	0
CP011131.9	0	0	0	0
CP011132.1	0	3	0	0
CP011132.2	0	0	0	0
CP011132.3	0	0	0	0
CP011132.4	0	0	0	0
CP011132.5	0	0	0	0
CP011132.6	0	0	0	0
CP011150.1	0	0	0	0
CP011150.2	0	2	0	0
CP011150.3	0	0	0	0
CP011150.4	0	0	0	0
CP011150.5	0	0	0	0
CP011150.6	0	0	0	0
CP011150.7	0	0	0	0
CP011150.8	0	0	0	0
CP011150.9	0	0	0	0
CP011253.1	0	0	0	0
CP011253.2	0	0	0	0
CP011253.3	0	0	0	0
CP011253.4	0	0	0	0
CP011253.5	0	0	0	0
CP011253.6	0	0	0	0
CP011253.7	0	0	0	0
CP011253.8	0	0	0	0
CP011253.9	0	0	0	0
CP011254.1	0	0	0	0
CP011254.10	0	0	0	0
CP011254.11	0	0	0	0
CP011254.12	0	0	0	0
CP011254.13	0	0	0	0
CP011254.14	0	0	0	0
CP011254.15	0	1	0	0
CP011254.2	0	0	0	0
CP011254.3	0	1	0	0
CP011254.4	0	0	0	0
CP011254.5	0	0	0	0
CP011254.6	0	0	0	0
CP011254.7	0	0	0	0
CP011254.8	0	0	0	0
CP011254.9	0	0	0	0
CP011256.1	0	0	0	0
CP011256.2	0	0	0	0
CP011256.3	0	0	0	0
CP011256.4	0	0	0	0
CP011256.5	0	0	0	0
CP011256.6	0	1	0	0
CP011256.7	0	0	0	0
CP011256.8	0	0	0	0
CP011265.1	0	0	0	0
CP011265.2	0	0	0	0
CP011265.3	0	0	0	0
CP011265.4	0	0	0	0
CP011265.5	0	0	0	0
CP011265.6	0	0	0	0
CP011265.7	0	0	0	0
CP011265.8	0	0	0	0
CP011265.9	0	0	0	0
CP011269.1	2	3	1	1
CP011269.10	0	0	0	0
CP011269.11	0	0	0	0
CP011269.12	0	0	0	0
CP011269.13	2	2	1	2
CP011269.14	0	0	0	0
CP011269.15	0	0	0	0
CP011269.16	0	0	0	0
CP011269.17	0	0	0	0
CP011269.18	1	0	0	0
CP011269.2	0	3	0	0
CP011269.3	0	0	0	0
CP011269.4	1	2	1	1
CP011269.5	0	0	0	0
CP011269.6	0	0	0	0
CP011269.7	0	0	0	0
CP011269.8	0	0	0	0
CP011269.9	1	2	1	1
CP011295.1	1	0	0	0
CP011295.10	0	0	0	0
CP011295.11	0	3	0	0
CP011295.12	0	1	0	0
CP011295.13	0	0	0	0
CP011295.14	0	0	0	0
CP011295.15	0	0	0	0
CP011295.16	0	0	0	0
CP011295.17	0	0	0	0
CP011295.18	0	0	0	0
CP011295.19	0	0	0	0
CP011295.2	1	1	1	1
CP011295.20	0	0	0	0
CP011295.21	0	0	0	0
CP011295.3	0	0	0	0
CP011295.4	0	0	0	0
CP011295.5	0	0	0	0
CP011295.6	0	0	0	1
CP011295.7	0	0	0	0
CP011295.8	0	1	0	0
CP011295.9	0	1	0	1
CP011301.1	0	0	0	0
CP011301.10	0	0	0	0
CP011301.2	0	0	0	0
CP011301.3	0	0	0	0
CP011301.4	0	0	0	0
CP011301.5	0	0	0	0
CP011301.6	0	0	0	0
CP011301.7	0	0	0	0
CP011301.8	0	0	0	0
CP011301.9	0	0	0	0
CP011303.1	0	0	0	0
CP011303.10	0	0	0	0
CP011303.2	0	1	0	0
CP011303.3	0	0	0	0
CP011303.4	0	0	0	0
CP011303.5	0	0	0	0
CP011303.6	0	0	0	0
CP011303.7	0	0	0	0
CP011303.8	0	0	0	0
CP011303.9	0	0	0	0
CP011304.1	0	0	0	0
CP011304.10	0	0	0	0
CP011304.11	0	0	0	0
CP011304.12	0	0	0	0
CP011304.2	0	0	0	0
CP011304.3	0	0	0	0
CP011304.4	0	0	0	0
CP011304.5	0	3	0	0
CP011304.6	1	0	0	0
CP011304.7	0	0	0	0
CP011304.8	0	0	0	0
CP011304.9	0	0	0	0
CP011305.1	0	0	0	0
CP011305.2	0	0	0	0
CP011305.3	0	0	0	0
CP011305.4	0	0	0	0
CP011305.5	0	0	0	0
CP011305.6	0	0	0	0
CP011305.7	0	0	0	0
CP011305.8	0	1	0	0
CP011305.9	0	0	0	0
CP011311.1	0	0	0	0
CP011311.2	0	0	0	0
CP011311.3	0	0	0	0
CP011311.4	0	0	0	0
CP011311.5	0	0	0	0
CP011311.6	1	0	0	0
CP011312.1	0	0	0	0
CP011312.2	0	0	0	0
CP011312.3	0	0	0	0
CP011312.4	0	0	0	0
CP011312.5	1	0	0	0
CP011339.1	0	3	0	1
CP011339.10	3	3	0	0
CP011339.11	2	1	1	0
CP011339.12	4	3	2	0
CP011339.13	0	0	0	0
CP011339.14	0	0	0	0
CP011339.2	1	1	1	0
CP011339.3	0	0	0	0
CP011339.4	0	0	0	0
CP011339.5	0	0	0	0
CP011339.6	0	0	0	0
CP011339.7	0	0	0	0
CP011339.8	0	0	0	0
CP011339.9	0	0	0	0
CP011340.1	3	4	0	2
CP011340.10	0	0	0	0
CP011340.11	0	0	0	0
CP011340.12	0	0	0	0
CP011340.13	0	0	0	0
CP011340.14	0	0	0	0
CP011340.15	3	1	0	0
CP011340.16	0	0	0	0
CP011340.17	0	0	0	0
CP011340.18	0	0	0	0
CP011340.19	0	0	0	0
CP011340.2	13	6	0	0
CP011340.20	0	0	0	0
CP011340.21	0	0	0	0
CP011340.22	0	0	0	0
CP011340.23	13	6	0	0
CP011340.24	2	4	0	2
CP011340.3	0	0	0	0
CP011340.4	0	0	0	0
CP011340.5	0	0	0	0
CP011340.6	0	0	0	0
CP011340.7	0	0	0	0
CP011340.8	0	0	0	0
CP011340.9	0	0	0	0
CP011341.1	0	0	0	0
CP011341.10	0	0	0	0
CP011341.11	0	0	0	0
CP011341.12	2	2	2	0
CP011341.13	0	0	0	0
CP011341.14	0	0	0	0
CP011341.15	0	0	0	0
CP011341.16	0	0	0	0
CP011341.17	0	0	0	0
CP011341.18	0	0	0	1
CP011341.19	0	0	0	0
CP011341.2	1	0	0	1
CP011341.20	0	0	0	0
CP011341.3	0	0	0	0
CP011341.4	0	0	0	0
CP011341.5	0	1	0	0
CP011341.6	0	0	0	0
CP011341.7	0	0	0	0
CP011341.8	0	0	0	0
CP011341.9	0	0	0	0
CP011347.1	0	0	0	0
CP011347.10	0	0	0	0
CP011347.11	0	0	0	0
CP011347.12	0	0	0	0
CP011347.13	7	5	4	0
CP011347.14	1	0	1	0
CP011347.15	0	0	0	0
CP011347.16	0	0	0	1
CP011347.2	0	2	0	0
CP011347.3	11	10	6	1
CP011347.4	0	0	0	0
CP011347.5	0	0	0	0
CP011347.6	0	2	0	2
CP011347.7	12	7	5	1
CP011347.8	10	9	2	0
CP011347.9	0	0	0	0
CP011369.1	0	0	0	0
CP011369.10	0	0	0	0
CP011369.11	0	0	0	0
CP011369.12	0	0	0	0
CP011369.13	0	0	0	0
CP011369.14	0	0	0	0
CP011369.15	1	1	0	1
CP011369.16	0	0	0	0
CP011369.17	0	0	0	0
CP011369.2	0	0	0	0
CP011369.3	0	0	0	0
CP011369.4	0	2	0	0
CP011369.5	0	0	0	0
CP011369.6	0	0	0	0
CP011369.7	0	0	0	0
CP011369.8	0	0	0	0
CP011369.9	0	0	0	0
CP011371.1	0	0	0	0
CP011371.10	0	0	0	0
CP011371.11	1	0	0	0
CP011371.12	0	1	0	0
CP011371.13	0	0	0	0
CP011371.14	0	0	0	0
CP011371.15	0	0	0	0
CP011371.16	0	0	0	0
CP011371.17	1	0	0	0
CP011371.18	0	0	0	0
CP011371.19	0	0	0	0
CP011371.2	0	0	0	0
CP011371.3	1	2	1	1
CP011371.4	0	0	0	0
CP011371.5	1	2	0	1
CP011371.6	3	1	1	1
CP011371.7	0	0	0	0
CP011371.8	0	0	0	0
CP011371.9	0	0	0	0
CP011427.1	0	0	0	0
CP011427.2	0	0	0	0
CP011427.3	0	0	0	0
CP011427.4	0	0	0	0
CP011427.5	0	0	0	0
CP011427.6	0	1	0	0
CP011451.1	0	0	0	0
CP011451.2	0	0	0	0
CP011451.3	0	0	0	0
CP011451.4	0	0	0	0
CP011451.5	0	0	0	0
CP011451.6	1	1	0	0
CP011456.1	0	0	0	0
CP011456.10	0	0	0	0
CP011456.11	0	0	0	0
CP011456.12	0	0	0	0
CP011456.13	0	0	0	0
CP011456.14	3	2	2	1
CP011456.15	0	0	0	0
CP011456.16	0	0	0	0
CP011456.17	0	0	0	0
CP011456.2	3	2	0	0
CP011456.3	0	0	0	0
CP011456.4	0	0	0	0
CP011456.5	0	0	0	0
CP011456.6	0	0	0	0
CP011456.7	0	0	0	0
CP011456.8	0	1	0	0
CP011456.9	0	0	0	0
CP011457.1	0	0	0	0
CP011477.1	0	0	0	0
CP011477.2	0	0	0	0
CP011477.3	0	0	0	0
CP011477.4	0	0	0	0
CP011477.5	0	0	0	0
CP011477.6	0	0	0	0
CP011477.7	0	0	0	0
CP011477.8	0	0	0	0
CP011492.1	15	12	10	4
CP011492.10	0	1	0	0
CP011492.11	0	0	0	0
CP011492.12	0	0	0	0
CP011492.13	0	0	0	0
CP011492.14	0	0	0	0
CP011492.15	0	0	0	0
CP011492.16	0	0	0	0
CP011492.17	2	1	1	1
CP011492.18	0	0	0	0
CP011492.19	0	0	0	0
CP011492.2	0	0	0	0
CP011492.20	0	0	0	0
CP011492.21	0	0	0	0
CP011492.22	3	3	2	2
CP011492.23	0	0	0	0
CP011492.24	0	0	0	0
CP011492.25	0	0	0	0
CP011492.26	0	0	0	0
CP011492.27	0	0	0	0
CP011492.28	0	0	0	0
CP011492.29	0	0	0	0
CP011492.3	0	0	0	0
CP011492.30	0	1	0	0
CP011492.31	0	0	0	0
CP011492.4	0	0	0	0
CP011492.5	0	0	0	0
CP011492.6	0	0	0	0
CP011492.7	0	0	0	0
CP011492.8	0	0	0	0
CP011492.9	0	0	0	0
CP011497.1	0	0	0	0
CP011497.10	0	0	0	0
CP011497.11	0	0	0	0
CP011497.12	0	0	0	0
CP011497.13	0	0	0	0
CP011497.14	0	0	0	0
CP011497.15	0	0	0	1
CP011497.16	0	0	0	0
CP011497.17	0	1	0	1
CP011497.18	0	0	0	0
CP011497.19	0	0	0	0
CP011497.2	5	3	3	0
CP011497.20	0	0	0	0
CP011497.21	0	0	0	0
CP011497.22	0	0	0	0
CP011497.23	3	1	0	1
CP011497.24	0	0	0	0
CP011497.25	0	0	0	0
CP011497.26	0	0	0	0
CP011497.27	0	0	0	0
CP011497.28	0	0	0	0
CP011497.29	0	0	0	0
CP011497.3	0	0	0	0
CP011497.30	0	0	0	0
CP011497.31	0	0	0	0
CP011497.32	2	3	2	2
CP011497.33	0	0	0	0
CP011497.4	0	0	0	0
CP011497.5	0	0	0	0
CP011497.6	3	1	1	1
CP011497.7	0	0	0	0
CP011497.8	0	0	0	0
CP011497.9	0	0	0	0
CP011498.1	0	1	0	0
CP011498.2	4	2	2	2
CP011502.1	0	0	0	0
CP011502.2	0	0	0	0
CP011502.3	0	1	0	0
CP011502.4	0	0	0	0
CP011502.5	0	0	0	0
CP011502.6	0	0	0	0
CP011502.7	0	0	0	0
CP011502.8	6	6	1	2
CP011502.9	0	0	0	0
CP011503.1	0	0	0	0
CP011503.2	1	2	1	1
CP011503.3	0	0	0	0
CP011503.4	0	0	0	0
CP011503.5	0	0	0	0
CP011503.6	0	1	0	0
CP011503.7	0	0	0	0
CP011505.1	0	0	0	0
CP011505.2	0	0	0	0
CP011505.3	0	0	0	0
CP011505.4	0	0	0	0
CP011505.5	0	0	0	0
CP011505.6	0	0	0	0
CP011507.1	0	0	0	0
CP011507.10	0	0	0	0
CP011507.11	0	1	0	0
CP011507.12	0	0	0	0
CP011507.13	0	0	0	0
CP011507.2	0	0	0	0
CP011507.3	0	2	0	1
CP011507.4	0	0	0	0
CP011507.5	0	0	0	0
CP011507.6	0	0	0	0
CP011507.7	0	0	0	0
CP011507.8	0	0	0	0
CP011507.9	0	0	0	0
CP011509.1	0	0	0	0
CP011509.10	0	0	0	0
CP011509.11	1	1	0	0
CP011509.12	4	1	1	0
CP011509.13	0	0	0	0
CP011509.14	0	0	0	0
CP011509.15	0	0	0	0
CP011509.16	0	0	0	0
CP011509.17	0	0	0	0
CP011509.18	0	0	0	0
CP011509.19	0	0	0	0
CP011509.2	0	0	0	0
CP011509.20	1	0	0	0
CP011509.21	0	0	0	0
CP011509.22	0	0	0	0
CP011509.23	0	0	0	0
CP011509.24	0	1	0	0
CP011509.25	2	0	0	0
CP011509.26	0	0	0	0
CP011509.27	0	0	0	0
CP011509.28	0	0	0	0
CP011509.29	0	2	0	0
CP011509.3	0	0	0	0
CP011509.30	0	0	0	0
CP011509.31	1	0	0	0
CP011509.32	1	0	0	0
CP011509.33	1	0	0	0
CP011509.34	0	0	0	0
CP011509.35	0	0	0	0
CP011509.36	0	0	0	0
CP011509.37	4	3	2	1
CP011509.38	0	0	0	0
CP011509.39	0	0	0	0
CP011509.4	0	0	0	0
CP011509.40	0	0	0	0
CP011509.41	0	0	0	0
CP011509.42	0	0	0	0
CP011509.43	1	1	1	0
CP011509.44	1	1	0	1
CP011509.45	0	0	0	0
CP011509.46	0	0	0	0
CP011509.47	0	0	0	0
CP011509.48	0	0	0	0
CP011509.49	0	0	0	0
CP011509.5	0	0	0	0
CP011509.50	0	0	0	0
CP011509.6	0	0	0	0
CP011509.7	0	0	0	0
CP011509.8	0	0	0	0
CP011509.9	0	0	0	0
CP011512.1	1	0	0	0
CP011512.10	0	0	0	0
CP011512.11	0	0	0	0
CP011512.12	0	0	0	0
CP011512.13	0	0	0	0
CP011512.14	1	1	1	0
CP011512.15	11	7	4	0
CP011512.16	0	0	0	0
CP011512.17	0	0	0	0
CP011512.2	0	0	0	0
CP011512.3	0	0	0	0
CP011512.4	0	0	0	0
CP011512.5	0	0	0	0
CP011512.6	0	0	0	0
CP011512.7	4	3	1	0
CP011512.8	0	0	0	0
CP011512.9	0	0	0	0
CP011516.1	0	0	0	0
CP011516.2	0	0	0	0
CP011516.3	0	0	0	0
CP011516.4	0	0	0	0
CP011516.5	0	0	0	0
CP011516.6	0	0	0	0
CP011522.1	1	1	0	0
CP011522.10	0	0	0	0
CP011522.11	0	0	0	0
CP011522.12	0	0	0	0
CP011522.13	0	0	0	0
CP011522.14	1	0	0	0
CP011522.15	0	0	0	0
CP011522.16	0	0	0	0
CP011522.17	0	0	0	2
CP011522.18	0	0	0	0
CP011522.19	0	0	0	0
CP011522.2	0	0	0	0
CP011522.20	0	0	0	0
CP011522.21	0	0	0	0
CP011522.22	0	0	0	0
CP011522.23	0	0	0	0
CP011522.24	0	0	0	0
CP011522.25	0	0	0	0
CP011522.26	0	1	0	0
CP011522.27	0	0	0	0
CP011522.28	0	0	0	0
CP011522.29	0	0	0	0
CP011522.3	0	0	0	0
CP011522.30	0	0	0	0
CP011522.31	0	0	0	0
CP011522.32	0	0	0	0
CP011522.33	0	0	0	0
CP011522.34	0	0	0	0
CP011522.35	0	0	0	0
CP011522.36	0	0	0	0
CP011522.37	0	0	0	0
CP011522.38	0	0	0	2
CP011522.39	0	1	0	0
CP011522.4	0	0	0	0
CP011522.40	5	2	2	0
CP011522.41	0	0	0	0
CP011522.42	0	0	0	0
CP011522.43	0	0	0	0
CP011522.5	0	0	0	0
CP011522.6	0	2	0	0
CP011522.7	0	0	0	0
CP011522.8	1	2	1	1
CP011522.9	13	12	5	2
CP011534.1	0	0	0	0
CP011534.10	0	0	0	0
CP011534.11	0	0	0	0
CP011534.12	0	0	0	0
CP011534.2	0	0	0	0
CP011534.3	0	0	0	0
CP011534.4	0	0	0	0
CP011534.5	16	9	8	1
CP011534.6	0	0	0	1
CP011534.7	0	0	0	0
CP011534.8	0	0	0	0
CP011534.9	0	1	0	0
CP011541.1	0	0	0	0
CP011541.2	0	0	0	0
CP011541.3	0	0	0	0
CP011541.4	1	0	0	0
CP011542.1	0	0	0	0
CP011542.2	0	0	0	0
CP011542.3	0	0	0	0
CP011542.4	0	0	0	0
CP011542.5	1	0	0	0
CP011542.6	0	0	0	0
CP011542.7	0	0	0	0
CP011545.1	0	0	0	0
CP011545.2	0	0	0	0
CP011545.3	0	0	0	0
CP011545.4	0	0	0	0
CP011545.5	1	0	0	0
CP011546.1	0	0	0	0
CP011546.2	0	0	0	0
CP011546.3	0	0	0	0
CP011546.4	1	0	0	0
CP011574.1	0	0	0	0
CP011574.2	0	4	0	0
CP011574.3	0	0	0	0
CP011574.4	0	0	0	0
CP011574.5	0	0	0	0
CP011574.6	0	0	0	0
CP011581.1	0	0	0	0
CP011581.2	0	0	0	0
CP011581.3	0	0	0	0
CP011581.4	0	0	0	0
CP011581.5	0	0	0	0
CP011581.6	0	2	0	0
CP011591.1	0	0	0	0
CP011591.2	0	0	0	0
CP011591.3	0	0	0	0
CP011591.4	0	3	0	0
CP011591.5	0	0	0	0
CP011591.6	0	0	0	0
CP011602.1	0	0	0	0
CP011602.2	0	0	0	0
CP011602.3	0	2	0	0
CP011602.4	0	0	0	0
CP011602.5	0	0	0	0
CP011618.1	1	1	0	0
CP011618.2	0	0	0	0
CP011618.3	0	3	0	0
CP011618.4	0	0	0	0
CP011618.5	0	0	0	0
CP011618.6	0	0	0	0
CP011618.7	0	0	0	0
CP011618.8	0	1	0	0
CP011636.1	0	0	0	0
CP011636.2	0	0	0	0
CP011636.3	0	0	0	0
CP011636.4	0	0	0	0
CP011636.5	0	0	0	0
CP011636.6	0	0	0	0
CP011636.7	0	3	0	0
CP011642.1	0	0	0	0
CP011642.10	0	0	0	0
CP011642.11	1	0	0	0
CP011642.12	0	0	0	0
CP011642.2	0	0	0	0
CP011642.3	0	0	0	0
CP011642.4	0	0	0	0
CP011642.5	0	0	0	0
CP011642.6	0	0	0	0
CP011642.7	0	0	0	0
CP011642.8	0	1	0	1
CP011642.9	0	0	0	0
CP011657.1	0	0	0	0
CP011657.2	0	1	0	0
CP011657.3	0	0	0	0
CP011657.4	0	0	0	0
CP011663.1	0	0	0	0
CP011663.2	0	0	0	0
CP011663.3	0	0	0	0
CP011663.4	0	0	0	0
CP011663.5	0	0	0	0
CP011664.1	0	0	0	0
CP011664.10	0	0	0	0
CP011664.11	0	0	0	0
CP011664.12	0	0	0	0
CP011664.13	0	0	0	0
CP011664.14	0	0	0	0
CP011664.15	0	0	0	0
CP011664.16	0	0	0	0
CP011664.17	0	0	0	0
CP011664.18	0	0	0	0
CP011664.19	0	0	0	0
CP011664.2	1	1	1	0
CP011664.20	5	5	2	1
CP011664.21	0	0	0	0
CP011664.22	0	0	0	0
CP011664.23	0	0	0	0
CP011664.24	0	0	0	0
CP011664.25	0	0	0	0
CP011664.26	0	0	0	0
CP011664.27	0	0	0	0
CP011664.3	0	1	0	0
CP011664.4	0	0	0	0
CP011664.5	0	0	0	0
CP011664.6	0	0	0	0
CP011664.7	29	29	17	2
CP011664.8	0	0	0	0
CP011664.9	0	0	0	0
CP011665.1	2	1	1	1
CP011665.2	0	0	0	0
CP011665.3	0	0	0	0
CP011665.4	0	0	0	0
CP011667.1	1	0	0	0
CP011667.2	1	1	1	0
CP011686.1	0	0	0	1
CP011686.10	1	2	0	2
CP011686.11	0	0	0	0
CP011686.12	0	0	0	0
CP011686.13	14	12	9	1
CP011686.14	0	2	0	0
CP011686.15	0	0	0	0
CP011686.2	0	0	0	0
CP011686.3	0	0	0	0
CP011686.4	0	0	0	0
CP011686.5	0	0	0	0
